status,message,user_id,phone,row,timestamp
error,"Ошибка заполнения поля ""Внутренний номер"", указанный номер уже используется другим сотрудником или группой телефонии. ",1446,2214,247,"2025-11-07 16:10:55"
error,"Ошибка заполнения поля ""Внутренний номер"", номер должен быть цифрой от 1 до 9999. ",1452,22142,248,"2025-11-07 16:10:55"
skipped,"Временный номер (пропуск)",1454,1046,249,"2025-11-07 16:10:56"
skipped,"Временный номер (пропуск)",1456,1047,250,"2025-11-07 16:10:56"
skipped,"Временный номер (пропуск)",1460,1048,251,"2025-11-07 16:10:56"
skipped,"Временный номер (пропуск)",1464,1049,252,"2025-11-07 16:10:57"
skipped,"Временный номер (пропуск)",1468,1050,253,"2025-11-07 16:10:57"
skipped,"Временный номер (пропуск)",1470,1051,254,"2025-11-07 16:10:57"
success,"Номер успешно обновлен",1496,2421,255,"2025-11-07 16:10:58"
skipped,"Временный номер (пропуск)",1498,1052,256,"2025-11-07 16:10:58"
skipped,"Временный номер (пропуск)",1508,1053,257,"2025-11-07 16:10:59"
skipped,"Временный номер (пропуск)",1530,1054,258,"2025-11-07 16:10:59"
skipped,"Временный номер (пропуск)",1570,1055,259,"2025-11-07 16:10:59"
skipped,"Временный номер (пропуск)",1596,1056,260,"2025-11-07 16:11:00"
skipped,"Временный номер (пропуск)",1598,1057,261,"2025-11-07 16:11:00"
skipped,"Временный номер (пропуск)",1600,1058,262,"2025-11-07 16:11:00"
skipped,"Временный номер (пропуск)",1602,1059,263,"2025-11-07 16:11:01"
skipped,"Временный номер (пропуск)",1604,1060,264,"2025-11-07 16:11:01"
skipped,"Временный номер (пропуск)",1606,1061,265,"2025-11-07 16:11:01"
skipped,"Временный номер (пропуск)",1608,1062,266,"2025-11-07 16:11:01"
skipped,"Временный номер (пропуск)",1610,1063,267,"2025-11-07 16:11:02"
skipped,"Временный номер (пропуск)",1612,1064,268,"2025-11-07 16:11:02"
skipped,"Временный номер (пропуск)",2420,1065,269,"2025-11-07 16:11:02"
skipped,"Временный номер (пропуск)",2578,1066,270,"2025-11-07 16:11:03"
skipped,"Временный номер (пропуск)",2624,1067,271,"2025-11-07 16:11:03"
skipped,"Временный номер (пропуск)",2630,1068,272,"2025-11-07 16:11:03"
